RFfreq	RFpower	real(S(2,1))[0, ::]
1.00000000000000000E9	-2.00000000000000000E1	-3.09660816884259038E0
1.00000000000000000E9	-1.89999999999999991E1	-3.09563861595727285E0
1.00000000000000000E9	-1.80000000000000004E1	-3.09441727781693920E0
1.00000000000000000E9	-1.69999999999999996E1	-3.09287854826296149E0
1.00000000000000000E9	-1.60000000000000009E1	-3.09093961474546219E0
1.00000000000000000E9	-1.50000000000000000E1	-3.08849589638261568E0
1.00000000000000000E9	-1.39999999999999991E1	-3.08541525933989291E0
1.00000000000000000E9	-1.30000000000000004E1	-3.08153068866044055E0
1.00000000000000000E9	-1.19999999999999996E1	-3.07663102877224626E0
1.00000000000000000E9	-1.10000000000000009E1	-3.07044934656740320E0
1.00000000000000000E9	-1.00000000000000000E1	-3.06264845170322220E0
1.00000000000000000E9	-9.00000000000000000E0	-3.05280317983555083E0
1.00000000000000000E9	-8.00000000000000000E0	-3.04037941383351695E0
1.00000000000000000E9	-7.00000000000000000E0	-3.02471036397938509E0
1.00000000000000000E9	-6.00000000000000000E0	-3.00497231931117748E0
1.00000000000000000E9	-5.00000000000000000E0	-2.98016432161725575E0
1.00000000000000000E9	-4.00000000000000000E0	-2.94909997324678352E0
1.00000000000000000E9	-3.00000000000000000E0	-2.91042372958142170E0
1.00000000000000000E9	-2.00000000000000000E0	-2.86266665969386347E0
1.00000000000000000E9	-1.00000000000000000E0	-2.80435396045489149E0
1.00000000000000000E9	0.00000000000000000E0	-2.73057286619108108E0
1.00000000000000000E9	1.00000000000000000E0	-2.62757690743978944E0
1.00000000000000000E9	2.00000000000000000E0	-2.50942075652507190E0
1.00000000000000000E9	3.00000000000000000E0	-2.38624031245486812E0
1.00000000000000000E9	4.00000000000000000E0	-2.26265480724066181E0
1.00000000000000000E9	5.00000000000000000E0	-2.13764857637961470E0
1.00000000000000000E9	6.00000000000000000E0	-2.00811618820077475E0
1.00000000000000000E9	7.00000000000000000E0	-1.88015318542097876E0
1.00000000000000000E9	8.00000000000000000E0	-1.75409237000743690E0
1.00000000000000000E9	9.00000000000000000E0	-1.63054631235877467E0
1.00000000000000000E9	1.00000000000000000E1	-1.51029080940236327E0
1.00000000000000000E9	1.10000000000000009E1	-1.39414056623916882E0
1.00000000000000000E9	1.19999999999999996E1	-1.28283871558728557E0
1.00000000000000000E9	1.30000000000000004E1	-1.17697636640116943E0
1.00000000000000000E9	1.39999999999999991E1	-1.07780319643902178E0
1.00000000000000000E9	1.50000000000000000E1	-9.84762889851681145E-1
1.00000000000000000E9	1.60000000000000009E1	-8.97501395376883337E-1
1.00000000000000000E9	1.69999999999999996E1	-8.15977554619977852E-1
1.00000000000000000E9	1.80000000000000004E1	-7.40074266864601071E-1
1.00000000000000000E9	1.89999999999999991E1	-6.69665451615783347E-1
1.00000000000000000E9	2.00000000000000000E1	-6.04616299565706505E-1
1.00000000000000000E9	2.10000000000000009E1	-5.44770318496411310E-1
1.00000000000000000E9	2.20000000000000018E1	-4.89937653620458757E-1
1.00000000000000000E9	2.29999999999999982E1	-4.39891852515445070E-1
1.00000000000000000E9	2.39999999999999991E1	-3.94374541562142511E-1
1.00000000000000000E9	2.50000000000000000E1	-3.53104392427431524E-1
1.00000000000000000E9	2.60000000000000009E1	-3.15787092289303217E-1
1.00000000000000000E9	2.70000000000000018E1	-2.82124305089803462E-1
1.00000000000000000E9	2.79999999999999982E1	-2.51820873648658194E-1
1.00000000000000000E9	2.89999999999999991E1	-2.24590210318487493E-1
1.00000000000000000E9	3.00000000000000000E1	-2.00158126488505506E-1

RFfreq	RFpower	real(S(2,1))[1, ::]
1.10000000000000009E9	-2.00000000000000000E1	-3.06724000170137279E0
1.10000000000000009E9	-1.89999999999999991E1	-3.06628447039439633E0
1.10000000000000009E9	-1.80000000000000004E1	-3.06508079552255319E0
1.10000000000000009E9	-1.69999999999999996E1	-3.06356432833560577E0
1.10000000000000009E9	-1.60000000000000009E1	-3.06165346095089896E0
1.10000000000000009E9	-1.50000000000000000E1	-3.05924513604472015E0
1.10000000000000009E9	-1.39999999999999991E1	-3.05620914778363906E0
1.10000000000000009E9	-1.30000000000000004E1	-3.05238092205417910E0
1.10000000000000009E9	-1.19999999999999996E1	-3.04755239355949392E0
1.10000000000000009E9	-1.10000000000000009E1	-3.04146053919893822E0
1.10000000000000009E9	-1.00000000000000000E1	-3.03377310672218270E0
1.10000000000000009E9	-9.00000000000000000E0	-3.02407114486443751E0
1.10000000000000009E9	-8.00000000000000000E0	-3.01182829894138848E0
1.10000000000000009E9	-7.00000000000000000E0	-2.99638736645298920E0
1.10000000000000009E9	-6.00000000000000000E0	-2.97693625714427013E0
