RFfreq	RFpower	real(S(2,1))[0, ::]
1.00000000000000000E9	-2.00000000000000000E1	-4.39767693854123287E0
1.00000000000000000E9	-1.89999999999999991E1	-4.39761850421140377E0
1.00000000000000000E9	-1.80000000000000004E1	-4.39754498135040706E0
1.00000000000000000E9	-1.69999999999999996E1	-4.39745248742465655E0
1.00000000000000000E9	-1.60000000000000009E1	-4.39733614874493828E0
1.00000000000000000E9	-1.50000000000000000E1	-4.39718985203337187E0
1.00000000000000000E9	-1.39999999999999991E1	-4.39700593639602921E0
1.00000000000000000E9	-1.30000000000000004E1	-4.39677481297271733E0
1.00000000000000000E9	-1.19999999999999996E1	-4.39648449774946304E0
1.00000000000000000E9	-1.10000000000000009E1	-4.39612004158181069E0
1.00000000000000000E9	-1.00000000000000000E1	-4.39566284087046100E0
1.00000000000000000E9	-9.00000000000000000E0	-4.39508981330162030E0
1.00000000000000000E9	-8.00000000000000000E0	-4.39437242666028194E0
1.00000000000000000E9	-7.00000000000000000E0	-4.39347557618165308E0
1.00000000000000000E9	-6.00000000000000000E0	-4.39235631805858162E0
1.00000000000000000E9	-5.00000000000000000E0	-4.39096248205664885E0
1.00000000000000000E9	-4.00000000000000000E0	-4.38923119459922084E0
1.00000000000000000E9	-3.00000000000000000E0	-4.38708731263011931E0
1.00000000000000000E9	-2.00000000000000000E0	-4.38444159321053029E0
1.00000000000000000E9	-1.00000000000000000E0	-4.38118781141753022E0
1.00000000000000000E9	0.00000000000000000E0	-4.37719614056391748E0
1.00000000000000000E9	1.00000000000000000E0	-4.37229445895981250E0
1.00000000000000000E9	2.00000000000000000E0	-4.36621251300826607E0
1.00000000000000000E9	3.00000000000000000E0	-4.35331406159352685E0
1.00000000000000000E9	4.00000000000000000E0	-4.32081866386171498E0
1.00000000000000000E9	5.00000000000000000E0	-4.28028943385458760E0
1.00000000000000000E9	6.00000000000000000E0	-4.23820485403200298E0
1.00000000000000000E9	7.00000000000000000E0	-4.18256033529737881E0
1.00000000000000000E9	8.00000000000000000E0	-4.09271477910154147E0
1.00000000000000000E9	9.00000000000000000E0	-3.95602890799507012E0
1.00000000000000000E9	1.00000000000000000E1	-3.78199983904172399E0
1.00000000000000000E9	1.10000000000000009E1	-3.58445500573073739E0
1.00000000000000000E9	1.19999999999999996E1	-3.37674371510953630E0
1.00000000000000000E9	1.30000000000000004E1	-3.16078757641553798E0
1.00000000000000000E9	1.39999999999999991E1	-2.93274762554811286E0
1.00000000000000000E9	1.50000000000000000E1	-2.69846870779791326E0
1.00000000000000000E9	1.60000000000000009E1	-2.46891940111154717E0
1.00000000000000000E9	1.69999999999999996E1	-2.25235277585676474E0
1.00000000000000000E9	1.80000000000000004E1	-2.05122000354438994E0
1.00000000000000000E9	1.89999999999999991E1	-1.86668265197412442E0
1.00000000000000000E9	2.00000000000000000E1	-1.69898855001392501E0
1.00000000000000000E9	2.10000000000000009E1	-1.54755745523242449E0
