freq	real(S(1,1))
5.90000000100000044E8	9.69084237109365354E-1
6.00000000100000097E8	9.68039430221929997E-1
6.10000000100000062E8	9.66977872662210203E-1
6.20000000100000115E8	9.65899604004655643E-1
6.30000000100000079E8	9.64804664406427293E-1
6.40000000100000044E8	9.63693094603648781E-1
6.50000000100000097E8	9.62564935908826058E-1
6.60000000100000062E8	9.61420230206220694E-1
6.70000000100000115E8	9.60259019949818793E-1
6.80000000100000079E8	9.59081348158411373E-1
6.90000000100000044E8	9.57887258412431919E-1
7.00000000100000097E8	9.56676794851184020E-1
7.10000000100000062E8	9.55450002168016255E-1
7.20000000100000115E8	9.54206925607181589E-1
7.30000000100000079E8	9.52947610960022473E-1
7.40000000100000044E8	9.51672104561015963E-1
7.50000000100000097E8	9.50380453284996385E-1
7.60000000100000062E8	9.49072704541326218E-1
7.70000000100000115E8	9.47748906271788805E-1
7.80000000100000079E8	9.46409106945859691E-1
7.90000000100000044E8	9.45053355557087116E-1
8.00000000100000008E8	9.43681701618923441E-1
8.10000000100000150E8	9.42294195160350689E-1
8.20000000100000115E8	9.40890886722537623E-1
8.30000000100000079E8	9.39471827354598510E-1
8.40000000100000044E8	9.38037068608575986E-1
8.50000000100000008E8	9.36586662536829451E-1
8.60000000100000150E8	9.35120661686422316E-1
8.70000000100000115E8	9.33639119095357017E-1
8.80000000100000079E8	9.32142088289238835E-1
8.90000000100000044E8	9.30629623275623175E-1
9.00000000100000008E8	9.29101778540375633E-1
9.10000000100000150E8	9.27558609043456173E-1
9.20000000100000115E8	9.26000170214239127E-1
9.30000000100000079E8	9.24426517947442683E-1
9.40000000100000044E8	9.22837708598385831E-1
9.50000000100000008E8	9.21233798978881069E-1
9.60000000100000150E8	9.19614846352486737E-1
9.70000000100000115E8	9.17980908430449283E-1
9.80000000100000079E8	9.16332043366272053E-1
9.90000000100000044E8	9.14668309752485698E-1
1.00000000010000001E9	9.12989766615171305E-1
1.01000000010000024E9	9.11296473409326246E-1
1.02000000010000003E9	9.09588490015168460E-1
1.03000000010000003E9	9.07865876732592625E-1
1.04000000010000004E9	9.06128694276695867E-1
1.05000000010000005E9	9.04377003773888788E-1
1.06000000010000006E9	9.02610866755983565E-1
1.07000000010000007E9	9.00830345156480661E-1
1.08000000009999964E9	8.99035501305436746E-1
1.09000000009999987E9	8.97226397925128971E-1
1.10000000009999988E9	8.95403098124484131E-1
1.11000000009999988E9	8.93565665395076358E-1
1.12000000009999967E9	8.91714163606686938E-1
1.13000000009999968E9	8.89848657001190801E-1
1.14000000009999991E9	8.87969210188797220E-1
1.15000000009999992E9	8.86075888143443002E-1
1.16000000009999971E9	8.84168756196622319E-1
1.17000000009999972E9	8.82247880034304366E-1
1.18000000009999972E9	8.80313325690579163E-1
1.19000000009999995E9	8.78365159543829144E-1
1.20000000009999974E9	8.76403448311653577E-1
1.21000000009999975E9	8.74428259045208556E-1
1.22000000009999976E9	8.72439659125580569E-1
1.23000000009999977E9	8.70437716257789518E-1
1.24000000009999978E9	8.68422498466486203E-1
1.25000000009999979E9	8.66394074091256883E-1
1.26000000009999980E9	8.64352511781011046E-1
1.27000000009999980E9	8.62297880489405522E-1
