freq	real(S(1,1))
1.28000000000000003E9	9.39910750703048237E-1
1.29000000000000004E9	9.38989459891709721E-1
1.30000000000000004E9	9.38061649908478756E-1
1.31000000000000005E9	9.37127335226402636E-1
1.31999999999999984E9	9.36186530405078443E-1
1.33000000000000007E9	9.35239250091528795E-1
1.34000000000000008E9	9.34285509019434635E-1
1.35000000000000009E9	9.33325322007395819E-1
1.35999999999999988E9	9.32358703960039570E-1
1.36999999999999988E9	9.31385669866593879E-1
1.38000000000000012E9	9.30406234801021093E-1
1.39000000000000012E9	9.29420413920419008E-1
1.39999999999999991E9	9.28428222465068131E-1
1.40999999999999992E9	9.27429675758632932E-1
1.41999999999999993E9	9.26424789206474308E-1
1.43000000000000016E9	9.25413578295778905E-1
1.43999999999999995E9	9.24396058594359538E-1
1.44999999999999996E9	9.23372245751174958E-1
1.45999999999999996E9	9.22342155494890470E-1
1.46999999999999997E9	9.21305803633737597E-1
1.47999999999999998E9	9.20263206054493921E-1
1.48999999999999999E9	9.19214378722882230E-1
1.50000000000000000E9	9.18159337682231858E-1
1.51000000000000001E9	9.17098099052601157E-1
1.52000000000000002E9	9.16030679031347717E-1
1.53000000000000003E9	9.14957093892163620E-1
1.54000000000000004E9	9.13877359983731274E-1
1.55000000000000004E9	9.12791493729797132E-1
1.56000000000000005E9	9.11699511629328896E-1
1.56999999999999984E9	9.10601430254441446E-1
1.58000000000000007E9	9.09497266250794745E-1
1.59000000000000008E9	9.08387036337015452E-1
1.60000000000000009E9	9.07270757303906983E-1
1.61000000000000010E9	9.06148446013478370E-1
1.61999999999999988E9	9.05020119399641843E-1
1.63000000000000012E9	9.03885794466221881E-1
1.63999999999999990E9	9.02745488287015441E-1
1.64999999999999991E9	9.01599218005534908E-1
1.66000000000000014E9	9.00447000833802846E-1
1.66999999999999993E9	8.99288854051935971E-1
1.68000000000000016E9	8.98124795008116372E-1
1.68999999999999995E9	8.96954841117467971E-1
1.69999999999999996E9	8.95779009861163900E-1
1.71000000000000019E9	8.94597318786629181E-1
1.71999999999999997E9	8.93409785507112986E-1
1.72999999999999998E9	8.92216427699632675E-1
1.73999999999999977E9	8.91017263106022206E-1
1.75000000000000000E9	8.89812309531492218E-1
1.76000000000000023E9	8.88601584844358783E-1
1.77000000000000002E9	8.87385106975379045E-1
1.78000000000000003E9	8.86162893916859318E-1
1.78999999999999981E9	8.84934963722608536E-1
1.80000000000000004E9	8.83701334506956826E-1
1.81000000000000005E9	8.82462024444338233E-1
1.81999999999999984E9	8.81217051768835802E-1
1.83000000000000007E9	8.79966434773147199E-1
1.83999999999999986E9	8.78710191808446694E-1
1.85000000000000009E9	8.77448341283566080E-1
1.86000000000000010E9	8.76180901664256595E-1
1.86999999999999988E9	8.74907891473193189E-1
1.88000000000000012E9	8.73629329288788448E-1
1.88999999999999990E9	8.72345233744517401E-1
1.89999999999999991E9	8.71055623528931022E-1
1.91000000000000014E9	8.69760517385057774E-1
1.91999999999999993E9	8.68459934108389575E-1
1.93000000000000016E9	8.67153892548680183E-1
1.93999999999999995E9	8.65842411607109064E-1
1.94999999999999996E9	8.64525510237105621E-1
1.96000000000000019E9	8.63203207443158149E-1
1.96999999999999997E9	8.61875522280216444E-1
1.97999999999999998E9	8.60542473853468870E-1
1.98999999999999977E9	8.59204081317301771E-1
2.00000000000000000E9	8.57860363874853604E-1
2.01000000000000023E9	8.56511340777566943E-1
2.02000000000000002E9	8.55157031324731776E-1
2.03000000000000025E9	8.53797454862172245E-1
2.04000000000000004E9	8.52432630782436185E-1
2.04999999999999982E9	8.51062578523849744E-1
2.06000000000000005E9	8.49687317569987677E-1
2.06999999999999984E9	8.48306867448786583E-1
2.08000000000000007E9	8.46921247732536919E-1
2.08999999999999986E9	8.45530478036842403E-1
2.10000000000000009E9	8.44134578020105764E-1
2.11000000000000032E9	8.42733567383291771E-1
2.12000000000000011E9	8.41327465868607760E-1
2.12999999999999989E9	8.39916293259351932E-1
2.13999999999999968E9	8.38500069379596091E-1
2.14999999999999991E9	8.37078814092808976E-1
2.16000000000000014E9	8.35652547302334447E-1
2.16999999999999993E9	8.34221288949585471E-1
2.18000000000000016E9	8.32785059014731743E-1
2.18999999999999995E9	8.31343877514973251E-1
2.20000000000000018E9	8.29897764504443103E-1
2.20999999999999996E9	8.28446740073762911E-1
2.21999999999999975E9	8.26990824348951747E-1
2.22999999999999998E9	8.25530037491826008E-1
2.23999999999999977E9	8.24064399698004202E-1
2.25000000000000000E9	8.22593931197579309E-1
2.26000000000000023E9	8.21118652253901971E-1
2.27000000000000002E9	8.19638583162785395E-1
2.28000000000000025E9	8.18153744252752624E-1
2.29000000000000004E9	8.16664155883617937E-1
2.29999999999999982E9	8.15169838446243133E-1
2.31000000000000005E9	8.13670812362034468E-1
2.31999999999999984E9	8.12167098082415251E-1
2.33000000000000007E9	8.10658716087425191E-1
2.33999999999999986E9	8.09145686886649074E-1
2.35000000000000009E9	8.07628031017190651E-1
2.36000000000000032E9	8.06105769043991671E-1
2.37000000000000011E9	8.04578921558968041E-1
2.37999999999999989E9	8.03047509180102814E-1
2.38999999999999968E9	8.01511552551408712E-1
2.39999999999999991E9	7.99971072342145639E-1
2.41000000000000014E9	7.98426089246312820E-1
2.41999999999999993E9	7.96876623981678911E-1
2.43000000000000016E9	7.95322697289603653E-1
2.43999999999999995E9	7.93764329934807122E-1
2.45000000000000018E9	7.92201542703725181E-1
2.45999999999999996E9	7.90634356404881622E-1
2.46999999999999975E9	7.89062791868373026E-1
2.47999999999999998E9	7.87486869944321377E-1
2.48999999999999977E9	7.85906611503224006E-1
2.50000000000000000E9	7.84322037435265518E-1
2.51000000000000023E9	7.82733168649421440E-1
2.52000000000000002E9	7.81140026073156513E-1
2.53000000000000025E9	7.79542630651607737E-1
2.54000000000000004E9	7.77941003347608628E-1
2.54999999999999982E9	7.76335165140027872E-1
2.56000000000000005E9	7.74725137024384392E-1
2.56999999999999984E9	7.73110940011962011E-1
2.58000000000000007E9	7.71492595128871095E-1
2.58999999999999986E9	7.69870123415560315E-1
2.60000000000000009E9	7.68243545926849336E-1
2.61000000000000032E9	7.66612883730287642E-1
2.62000000000000011E9	7.64978157907394873E-1
2.62999999999999989E9	7.63339389550884651E-1
2.63999999999999968E9	7.61696599765965932E-1
2.64999999999999991E9	7.60049809668720755E-1
2.66000000000000014E9	7.58399040386197143E-1
2.66999999999999993E9	7.56744313055236084E-1
2.68000000000000016E9	7.55085648822633182E-1
2.68999999999999995E9	7.53423068844087496E-1
2.70000000000000018E9	7.51756594283933044E-1
2.70999999999999996E9	7.50086246314343175E-1
2.71999999999999975E9	7.48412046115244856E-1
2.72999999999999998E9	7.46734014873163865E-1
2.73999999999999977E9	7.45052173781627758E-1
2.75000000000000000E9	7.43366544039216315E-1
2.76000000000000023E9	7.41677146850770974E-1
2.77000000000000002E9	7.39984003425204051E-1
2.78000000000000025E9	7.38287134976394910E-1
2.79000000000000004E9	7.36586562721813820E-1
2.79999999999999982E9	7.34882307881882291E-1
2.81000000000000005E9	7.33174391680493809E-1
2.81999999999999984E9	7.31462835343108253E-1
2.83000000000000007E9	7.29747660097444406E-1
2.83999999999999986E9	7.28028887172197603E-1
2.85000000000000009E9	7.26306537797002427E-1
2.86000000000000032E9	7.24580633201516555E-1
2.87000000000000011E9	7.22851194615572457E-1
2.87999999999999989E9	7.21118243267483905E-1
2.88999999999999968E9	7.19381800385033188E-1
2.89999999999999991E9	7.17641887194029948E-1
2.91000000000000014E9	7.15898524917632884E-1
2.91999999999999993E9	7.14151734776922886E-1
2.93000000000000016E9	7.12401537989117539E-1
2.93999999999999995E9	7.10647955768254569E-1
2.95000000000000018E9	7.08891009323769250E-1
2.95999999999999996E9	7.07130719860483037E-1
2.96999999999999975E9	7.05367108578226976E-1
2.97999999999999998E9	7.03600196670907607E-1
2.98999999999999977E9	7.01830005326543649E-1
3.00000000000000000E9	7.00056555726445318E-1
3.01000000000000023E9	6.98279869044742973E-1
3.02000000000000002E9	6.96499966448090468E-1
3.03000000000000025E9	6.94716869095074685E-1
3.04000000000000004E9	6.92930598135978393E-1
3.04999999999999982E9	6.91141174711867912E-1
3.06000000000000005E9	6.89348619954687436E-1
3.06999999999999984E9	6.87552954986127673E-1
3.08000000000000007E9	6.85754200917845225E-1
3.08999999999999986E9	6.83952378850493048E-1
3.10000000000000009E9	6.82147509873781210E-1
3.11000000000000032E9	6.80339615065462144E-1
3.12000000000000011E9	6.78528715491105494E-1
3.12999999999999989E9	6.76714832203983718E-1
3.13999999999999968E9	6.74897986244022974E-1
3.14999999999999991E9	6.73078198637745206E-1
3.16000000000000014E9	6.71255490398104282E-1
3.16999999999999993E9	6.69429882523169262E-1
3.18000000000000016E9	6.67601395996623381E-1
3.18999999999999995E9	6.65770051786622741E-1
3.20000000000000018E9	6.63935870845961240E-1
3.20999999999999996E9	6.62098874111372737E-1
3.22000000000000020E9	6.60259082502517813E-1
3.22999999999999954E9	6.58416516922846817E-1
3.23999999999999977E9	6.56571198258320621E-1
3.25000000000000000E9	6.54723147376731696E-1
3.26000000000000023E9	6.52872385128136656E-1
3.27000000000000046E9	6.51018932343752521E-1
3.27999999999999980E9	6.49162809835871712E-1
3.29000000000000004E9	6.47304038397595871E-1
3.29999999999999982E9	6.45442638801713819E-1
3.31000000000000005E9	6.43578631801335010E-1
3.32000000000000028E9	6.41712038128497042E-1
3.32999999999999963E9	6.39842878494658152E-1
3.33999999999999986E9	6.37971173589669593E-1
3.35000000000000009E9	6.36096944081241666E-1
3.36000000000000032E9	6.34220210615568103E-1
3.37000000000000011E9	6.32340993815666508E-1
3.37999999999999989E9	6.30459314281909755E-1
3.38999999999999968E9	6.28575192591429577E-1
3.39999999999999991E9	6.26688649297094713E-1
3.41000000000000014E9	6.24799704928133082E-1
3.42000000000000037E9	6.22908379989297778E-1
3.42999999999999972E9	6.21014694960305480E-1
3.43999999999999995E9	6.19118670295508711E-1
3.45000000000000018E9	6.17220326424176058E-1
