VGS	VDS	fetCharTestingSmartSim0..IDS.i[0, ::]
-1.19999999999999996E0	3.39999999999999591E0	1.49813727937536090E-3
-1.19999999999999996E0	3.44999999999999574E0	1.50046637520133230E-3
-1.19999999999999996E0	3.49999999999999556E0	1.50276715261899518E-3
-1.19999999999999996E0	3.54999999999999538E0	1.50504230392360472E-3
-1.19999999999999996E0	3.59999999999999520E0	1.50729427206079647E-3
-1.19999999999999996E0	3.64999999999999503E0	1.50952527356723776E-3
-1.19999999999999996E0	3.69999999999999485E0	1.51173731942798173E-3
-1.19999999999999996E0	3.74999999999999467E0	1.51393223403497945E-3
-1.19999999999999996E0	3.79999999999999449E0	1.51611167241529232E-3
-1.19999999999999996E0	3.84999999999999432E0	1.51827713588393087E-3
-1.19999999999999996E0	3.89999999999999414E0	1.52042998626230830E-3
-1.19999999999999996E0	3.94999999999999396E0	1.52257145879206335E-3
-1.19999999999999996E0	3.99999999999999378E0	1.52470267386140113E-3
-1.19999999999999996E0	4.04999999999999361E0	1.52682464765247361E-3
-1.19999999999999996E0	4.09999999999999343E0	1.52893830180713253E-3
-1.19999999999999996E0	4.14999999999999325E0	1.53104447220086248E-3
-1.19999999999999996E0	4.19999999999999307E0	1.53314391690648644E-3
-1.19999999999999996E0	4.24999999999999289E0	1.53523732342139252E-3
-1.19999999999999996E0	4.29999999999999272E0	1.53732531522614302E-3
-1.19999999999999996E0	4.34999999999999254E0	1.53940845773582247E-3
-1.19999999999999996E0	4.39999999999999236E0	1.54148726369969946E-3
-1.19999999999999996E0	4.44999999999999218E0	1.54356219810045636E-3
-1.19999999999999996E0	4.49999999999999201E0	1.54563368259874268E-3
-1.19999999999999996E0	4.54999999999999183E0	1.54770209956519356E-3
-1.19999999999999996E0	4.59999999999999165E0	1.54976779573809154E-3
-1.19999999999999996E0	4.64999999999999147E0	1.55183108554105020E-3
-1.19999999999999996E0	4.69999999999999130E0	1.55389225409264697E-3
-1.19999999999999996E0	4.74999999999999112E0	1.55595155993577783E-3
-1.19999999999999996E0	4.79999999999999094E0	1.55800923751365006E-3
-1.19999999999999996E0	4.84999999999999076E0	1.56006549941516504E-3
-1.19999999999999996E0	4.89999999999999059E0	1.56212053841135745E-3
-1.19999999999999996E0	4.94999999999999041E0	1.56417452930241874E-3
-1.19999999999999996E0	4.99999999999999023E0	1.56622763059259418E-3
-1.19999999999999996E0	5.04999999999999005E0	1.56827998600940766E-3
-1.19999999999999996E0	5.09999999999998987E0	1.57033172588101611E-3
-1.19999999999999996E0	5.14999999999998970E0	1.57238296838559388E-3
-1.19999999999999996E0	5.19999999999998952E0	1.57443382068408488E-3
-1.19999999999999996E0	5.24999999999998934E0	1.57648437994768198E-3
-1.19999999999999996E0	5.29999999999998916E0	1.57853473428913893E-3
-1.19999999999999996E0	5.34999999999998899E0	1.58058496360784906E-3
-1.19999999999999996E0	5.39999999999998881E0	1.58263514035564112E-3
-1.19999999999999996E0	5.44999999999998863E0	1.58468533023141256E-3
-1.19999999999999996E0	5.49999999999998845E0	1.58673559281109378E-3
-1.19999999999999996E0	5.54999999999998828E0	1.58878598211873867E-3
-1.19999999999999996E0	5.59999999999998810E0	1.59083654714437106E-3
-1.19999999999999996E0	5.64999999999998792E0	1.59288733231360169E-3
-1.19999999999999996E0	5.69999999999998774E0	1.59493837791349646E-3
-1.19999999999999996E0	5.74999999999998757E0	1.59698972047858367E-3
-1.19999999999999996E0	5.79999999999998739E0	1.59904139314094551E-3
-1.19999999999999996E0	5.84999999999998721E0	1.60109342594775850E-3
-1.19999999999999996E0	5.89999999999998703E0	1.60314584614904510E-3
-1.19999999999999996E0	5.94999999999998685E0	1.60519867845853037E-3
-1.19999999999999996E0	6.00000000000000000E0	1.60725194529065663E-3

VGS	VDS	fetCharTestingSmartSim0..IDS.i[1, ::]
-1.00000000000000000E0	1.00000000000000000E-1	5.69074767767761180E-4
-1.00000000000000000E0	1.50000000000000022E-1	8.46684655088419902E-4
-1.00000000000000000E0	2.00000000000000000E-1	1.11821630263736638E-3
-1.00000000000000000E0	2.50000000000000000E-1	1.38269267937713747E-3
-1.00000000000000000E0	3.00000000000000000E-1	1.63924553367767878E-3
-1.00000000000000000E0	3.50000000000000000E-1	1.88712373659177945E-3
-1.00000000000000000E0	3.99999999999999956E-1	2.12569835625745762E-3
-1.00000000000000000E0	4.50000000000000000E-1	2.35446454049591569E-3
-1.00000000000000000E0	4.99999999999999911E-1	2.57304040883110297E-3
-1.00000000000000000E0	5.49999999999999911E-1	2.78116325761741123E-3
-1.00000000000000000E0	6.00000000000000000E-1	2.97868345861569761E-3
-1.00000000000000000E0	6.50000000000000000E-1	3.16555648041581961E-3
-1.00000000000000000E0	7.00000000000000089E-1	3.34183348399109015E-3
-1.00000000000000000E0	7.50000000000000089E-1	3.50765094070925620E-3
-1.00000000000000000E0	8.00000000000000178E-1	3.66321969707420481E-3
-1.00000000000000000E0	8.50000000000000178E-1	3.80881386999554472E-3
-1.00000000000000000E0	9.00000000000000178E-1	3.94475990450548952E-3
-1.00000000000000000E0	9.50000000000000355E-1	4.07142606748283509E-3
-1.00000000000000000E0	1.00000000000000022E0	4.18921259053088058E-3
-1.00000000000000000E0	1.05000000000000027E0	4.29854261638201418E-3
