VGS	VDS	aLookAtMe_SimWizard0..IDS.i[0, ::]
-1.35000000000000053E0	4.00000000000000178E0	0.00000000000000000E0
-1.35000000000000053E0	4.10000000000000142E0	0.00000000000000000E0
-1.35000000000000053E0	4.20000000000000107E0	0.00000000000000000E0
-1.35000000000000053E0	4.30000000000000071E0	0.00000000000000000E0
-1.35000000000000053E0	4.40000000000000036E0	0.00000000000000000E0
-1.35000000000000053E0	4.50000000000000000E0	0.00000000000000000E0
-1.35000000000000053E0	4.59999999999999964E0	0.00000000000000000E0
-1.35000000000000053E0	4.69999999999999929E0	0.00000000000000000E0
-1.35000000000000053E0	4.79999999999999893E0	0.00000000000000000E0
-1.35000000000000053E0	4.89999999999999858E0	0.00000000000000000E0
-1.35000000000000053E0	4.99999999999999822E0	0.00000000000000000E0
-1.35000000000000053E0	5.09999999999999787E0	0.00000000000000000E0
-1.35000000000000053E0	5.19999999999999751E0	0.00000000000000000E0
-1.35000000000000053E0	5.29999999999999716E0	0.00000000000000000E0
-1.35000000000000053E0	5.39999999999999680E0	0.00000000000000000E0
-1.35000000000000053E0	5.49999999999999645E0	0.00000000000000000E0
-1.35000000000000053E0	5.59999999999999609E0	0.00000000000000000E0
-1.35000000000000053E0	5.69999999999999574E0	0.00000000000000000E0
-1.35000000000000053E0	5.79999999999999538E0	0.00000000000000000E0
-1.35000000000000053E0	5.89999999999999503E0	0.00000000000000000E0
-1.35000000000000053E0	6.00000000000000000E0	0.00000000000000000E0

VGS	VDS	aLookAtMe_SimWizard0..IDS.i[2, ::]
-1.30000000000000049E0	1.00000000000000000E-1	8.09890829480233521E-6
-1.30000000000000049E0	2.00000000000000000E-1	1.59650657113390326E-5
-1.30000000000000049E0	3.00000000000000044E-1	2.34623052013754174E-5
-1.30000000000000049E0	4.00000000000000000E-1	3.04804581531207575E-5
-1.30000000000000049E0	5.00000000000000000E-1	3.69402897945650333E-5
-1.30000000000000049E0	6.00000000000000000E-1	4.27945681558693103E-5
-1.30000000000000049E0	7.00000000000000000E-1	4.80258258213132727E-5
-1.30000000000000049E0	7.99999999999999911E-1	5.26418224607984975E-5
-1.30000000000000049E0	9.00000000000000000E-1	5.66698338829674242E-5
-1.30000000000000049E0	0.99999999999999989E0	6.01507513713180320E-5
-1.30000000000000049E0	1.09999999999999987E0	6.31336947099037715E-5
-1.30000000000000049E0	1.19999999999999996E0	6.56715365158587083E-5
-1.30000000000000049E0	1.30000000000000004E0	6.78174778434578052E-5
-1.30000000000000049E0	1.40000000000000013E0	6.96226360343950024E-5
-1.30000000000000049E0	1.50000000000000022E0	7.11345046869825914E-5
-1.30000000000000049E0	1.60000000000000031E0	7.23961055874911175E-5
-1.30000000000000049E0	1.70000000000000040E0	7.34456525688723261E-5
